id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
1508,301479,2026-19600,BATCH 36,2018,DepEd (DCP),2,0,0,Non-Functional,"Host PC - Acer Veriton M200 B350
UPS- ABRELEX GR1200 
AVR - Supremo SSR-1000SV/E
Switch - TP-Link TL-SG1016D
Networking SW Cable
Thin Client - Terminal Access Drive
Projector - ACER X1223H
Multimedia Speaker
External Optical Drive
3-in-1 Multifunction Inkjet Printer - HP GT5810
",2026-04-09 23:17:12.973139+00:00
1514,300126,2026-10435,E Laptop,2024,DepEd (DCP),46,0,0,Functional,,2026-04-09 23:22:17.286196+00:00
1518,301612,2026-05529,DCP 2018-01: E-TextBooks,2019,DepEd (DCP),0,50,0,Functional,,2026-04-09 23:36:47.091425+00:00
1501,301795,2026-06730,Batch,2019,DepEd (DCP),1,50,0,Non-Functional,"Mouse, bag, router, external DVD writer, DVD recordable disc",2026-04-09 22:36:22.223250+00:00
2132,305996,2026-22891,Batch 2023-01: ELearning Cart Pavkage,2024,DepEd (DCP),46,0,1,Functional,"Mouse,Adaptor,Charging Cart,TP Link Archer,Silicon Power Armor",2026-04-10 06:59:18.658712+00:00
1487,301856,2026-23256,Dcp 2022-01,2023,DepEd (DCP),44,0,1,Functional,Router,2026-04-09 16:42:40.768342+00:00
1484,301051,2026-16289,DCP 2020,2022,DepEd (DCP),24,17,0,Functional,,2026-04-09 16:11:08.437847+00:00
1572,342242,2026-20215,DCP 2019-3,2021,DepEd (DCP),1,51,0,Functional,"Headset, Computer Mouse",2026-04-10 01:43:19.514491+00:00
2133,301079,2026-16892,2022,2024,DepEd (DCP),46,0,1,Functional,"With COBY Wireless Mouse, Laptop Bag and Mouse Pad",2026-04-10 07:00:42.372653+00:00
1496,500596,2026-08200,2023,2025,DepEd (DCP),92,0,0,Functional,,2026-04-09 22:15:03.582869+00:00
1474,303068,2026-32252,ADM Tablet Package,2025,DepEd (DCP),0,10,0,Functional,,2026-04-09 15:10:40.070004+00:00
1577,301240,2026-17976,Batch 2022 SHS,2024,DepEd (DCP),46,0,1,Functional,SHS,2026-04-10 01:48:17.079800+00:00
1591,305983,2026-31831,Batch 22,2024,DepEd (DCP),46,0,1,Functional,With accessories,2026-04-10 01:57:45.833015+00:00
1592,305983,2026-31831,Batch 23,2024,DepEd (DCP),46,0,1,Functional,With accessories,2026-04-10 01:57:45.838603+00:00
1549,301498,2026-19673,ELC 2023,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:33:38.916666+00:00
1560,315301,2026-40608,Batch 25,2012,DepEd (DCP),0,0,0,Non-Functional,With UPS and AVRs,2026-04-10 01:01:36.881735+00:00
1561,315301,2026-40608,Batch 36,2018,DepEd (DCP),1,50,0,Non-Functional,"With printer, headphones, speaker, charging storage cart, wireless router, projector",2026-04-10 01:01:36.919518+00:00
1562,315301,2026-40608,Batch 2024-03,2024,DepEd (DCP),5,0,0,Functional,With headphones,2026-04-10 01:01:36.944797+00:00
1478,315822,2026-41516,2024-01,2024,DepEd (DCP),46,0,1,Functional,Adapters,2026-04-09 15:28:37.978970+00:00
1509,301479,2026-19600,DCP BATCH 34,2018,DepEd (DCP),1,7,0,Non-Functional,"Wireless router, TP-LINK - TL - WR840N
Photovoltaic Modules, Ningbo Osda Solar Co. Ltd, ODA 120-18-MD
Mounting Structure, for 3 PV, 4 meters Pole with Base Plate and Anchor bolts I concrete pedestal
Charge Controller
Inverter, LEONICS - APOLLO S-221A-30
12V, 100AH - Lead Acid, Deep Cycle, Sealed, Maintenance Free - As per Required Specification - JIANGSU OLITER - LCPC 100-12
Battery Box - Dimension and Design As per Required Specification, Local
Battery Interconnection Cable - 8mm2 stranded, single core, XLPE Cable, ZHONGLI
Terminal lugs - 8mm2 x 8mmo stud, Local
15 mm Shinkable Tube - Red, Local 
15 mm Shinkable Tube - Black, Local 
PV wires combiner
PV wires combiner, 3-1 MC4 Combiner 
PV to Controller/Inverter Cable - MC4 Connector
8mm2, stranded, double insolation-1 Core, XLPE Cable - PV to Inverter 
8mm2, stranded, 2 Core, double insolation, XLPE Cable
#14 AWG Stranded, Flat Cord - For Load Distribution Panel
Load Distribution Panel, Local
LED Lamps, 2 sets x 7W, WOOJONG - A60-7W
E27 Lighting Socket, Local
Flat Cord, ZONGLI
AC Plug, Local
Phillips Head Screw, Local
Insulated Staple Wire, Local
Ground Wire, Local
Ground Wire Connector, Local
Ground Rod, Local
Wire Fixations - 4mm x 150mm Cable Ties, Local
Wire Fixations - 4mm x 300mm Cable Ties, Local
Wire Fixations - 1/2 Cable PVC Clamp with Concrete Nail, Local
",2026-04-09 23:17:12.978216+00:00
