school_id,ict_desktops_func,ict_desktops_teaching,ict_desktops_total,ict_desktops_working,ict_laptops_func,ict_laptops_teaching,ict_laptops_total,ict_laptops_working,ict_printers_cond,ict_printers_func,ict_printers_total,ict_projectors_cond,ict_projectors_func,ict_projectors_total,ict_smart_tvs_cond,ict_smart_tvs_func,ict_smart_tvs_total,ict_tablets_func,ict_tablets_teaching,ict_tablets_total,ict_tablets_working,util_confirm_no_grid,util_confirm_no_grid_text,util_confirm_no_wired,util_confirm_no_wired_text,util_has_solar_or_gen,util_utility_electricity,util_utility_internet_funder,util_utility_internet_type,util_utility_internet_yesno
130964,,0,6,0,,3,5,3,,2,5,,1,3,,3,5,,0,56,0,False,,False,Confirm ,False,Grid supply,DepEd Funded (DCP),Satellite,True
105886,0,0,0,0,,6,6,6,,12,14,,1,1,,14,14,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
112410,,0,1,1,,2,3,3,,10,14,,0,0,,8,8,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129241,0,0,0,0,,6,7,7,,7,8,,0,0,,8,8,,0,1,1,False,,False,confirm,False,Grid supply,,,False
503073,,3,6,3,,10,12,12,,6,10,,1,2,,3,3,0,0,0,0,False,,False,Confirm,False,Grid supply,DepEd Funded (DCP),Wireless (4G/5G/Radio),True
302599,,2,10,10,,8,9,9,,37,37,,0,0,,39,39,0,0,0,0,False,,False,CONFIRM,False,Grid supply,,,False
305991,0,0,0,0,,5,30,30,,6,8,,0,0,,7,8,,0,50,50,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
105103,,0,1,0,,1,3,1,,2,16,,0,0,,8,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129995,,1,1,1,,1,3,3,,10,15,,0,0,,5,7,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
121702,0,0,0,0,,4,5,5,,7,7,,1,1,,6,6,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
131567,0,0,0,0,,4,6,3,,6,10,,0,0,,3,4,,4,5,4,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
199531,0,0,0,0,,3,5,3,,2,2,,0,0,,0,0,0,0,0,0,False,Confirm,False,Confirm,False,No electricity,,,False
