Project_ID,IPC,Has_Photos,Has_Docs,School_Name,Project_Name,Division,Region
1010046,INF-11-2024-00203,NO,YES,Sumader ES,Repair of Classrooms,BATAC CITY,REGION I
1010093,INF-11-2024-00919,YES,YES,San Juan ES,"Repair and Rehabilitation of School Building, San Juan Elementary School, Santa Marcela, Apayao",APAYAO,CAR
1010098,INF-03-2024-00801,YES,NO,Alegria ES,"CONSTRUCTION OF ONE (1) STOREY - FOUR (4) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, AND WATER SYSTEM",SURIGAO CITY,CARAGA
1010100,INF-03-2024-00735,NO,YES,Caglayan ES,"CONSTRUCTION OF ONE (1) STOREY - TWO (2) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM AND WATER SYSTEM",APAYAO,CAR
1010101,INF-03-2024-00720,NO,YES,Namaltugan ES,"CONSTRUCTION OF ONE (1) STOREY - TWO (2) CLASSROOMS SCHOOL BUILDING (WITH COMMON TOILET) WITH PROVISION OF SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM AND WATER SYSTEM",APAYAO,CAR
1052193,INF-10-2024-02298,YES,YES,Sani-Sani PS,,SURIGAO DEL NORTE,CARAGA
1055345,INF-09-2026-00001,YES,NO,Calfungal Elementary School,TEST PROJECT,SARANGANI,REGION XII
1055364,INF-05-2024-00097,NO,YES,Compostela Central Elementary School SPED Center,Conservation and Restoration of Gabaldon School Building,DAVAO DE ORO,REGION XI
1055440,INF-01-2024-00163,YES,NO,Cardona ES,1STY2CL,TARLAC,Region III
1055441,INF-01-2024-00613,YES,NO,San Agustin Kanluran ES,1STY2CL,BATANGAS CITY,REGION IV-A
1055442,INF-01-2024-01258,YES,NO,Barasoain Memorial Integrated School,3STY15CL,MALOLOS CITY,Region III
1055443,INF-01-2025-00066,YES,NO,Cristina David Pascual National High School,Construction of School Building,GAPAN CITY,Region III
1094189,INF-01-2019-00601,YES,NO,Ivana NHS,1STY2CL,BATANES,REGION II
1097476,INF-01-2024-01596,YES,NO,South Upi NHS,1STY4CL,MAGUINDANAO DEL SUR,BARMM
1097508,INF-01-2024-01635,YES,NO,Pinget Elementary School,3CL,BAGUIO CITY,CAR
1097543,INF-01-2024-01670,YES,NO,Demang Elementary School,1STY2CL,MT. PROVINCE,CAR
1097544,INF-01-2024-01671,YES,NO,Sacasacan Elementary School,Completion of 1STY2CL,MT. PROVINCE,CAR
1097546,INF-01-2024-00351,YES,YES,Lacnog Integrated School,1STY2CL,TABUK CITY,CAR
1097548,INF-01-2024-01674,YES,NO,Subait Elementary School,1STY2CL,AGUSAN DEL NORTE,CARAGA
1097562,INF-01-2024-01688,YES,NO,Jose T. Cuyos Sr. II Integrated School,1STY2CL,AGUSAN DEL SUR,CARAGA
1097613,INF-01-2024-01738,YES,NO,Tapian ES,1STY2CL,SURIGAO DEL NORTE,CARAGA
1097620,INF-01-2024-01744,YES,NO,Sangay Elementary School of Living Tradition,1STY3CL,SURIGAO DEL SUR,CARAGA
1097625,INF-01-2024-01749,YES,NO,Kinayan Elementary School,1STY3CL,SURIGAO DEL SUR,CARAGA
1097659,INF-01-2024-01781,YES,NO,San Roque ES,2STY2CL,MARIKINA CITY,NCR
1097671,INF-01-2024-01209,YES,NO,Apelo Cruz ES,4STY6CL,PASAY CITY,NCR
1097688,INF-01-2024-01810,YES,NO,Roberta de Jesus Elementary School,4STY8CL,VALENZUELA CITY,NCR
1097709,INF-01-2024-01832,YES,NO,Magsaysay National High School,2STY Workshop Building,GUIHULNGAN CITY,NIR
1097724,INF-01-2024-01847,YES,NO,Batea Elementary School,2STY4CL,NEGROS OCCIDENTAL,NIR
1097747,INF-01-2024-01871,YES,NO,Gil Montilla NHS - Manlucahoc Ext.,2STY4CL,SIPALAY CITY,NIR
1098151,INF-01-2024-00614,YES,YES,San Agustin Silangan ES,1STY2CL,BATANGAS CITY,Region IV-A
1098174,INF-01-2024-01298,YES,YES,Dasmariñas Integrated High School,4STY20CL,DASMARINAS CITY,Region IV-A
1098476,INF-01-2024-02595,YES,NO,Centro Integrated School,1STY3CL,MASBATE,Region V
1098479,INF-01-2024-02598,YES,NO,Julian V. Antonio Elementary School,2STY4CL,MASBATE CITY,Region V
1098965,INF-01-2024-01517,YES,YES,Vintar Integrated School,1STY3CL,VALENCIA CITY,Region X
1099307,INF-01-2025-00036,YES,NO,Mayan Elementary School,Construction of School Building,BATANES,Region II
1099308,INF-01-2025-00048,YES,NO,Itbud Integrated School,Construction of School Building,BATANES,Region II
1099354,INF-01-2025-00991,YES,NO,Papan ES,Construction of 1STY3CL,ISABELA,Region II
1099903,INF-06-2024-00185,YES,NO,Marcos Central School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),ILOCOS NORTE,REGION I
1099928,INF-06-2024-00125,YES,NO,Ayusan-Paoa Elementary School,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),VIGAN CITY,REGION I
1100047,INF-12-2024-01002,YES,NO,Basco Central School,Energization of Electrical System (Underground System),BATANES,REGION II
1100185,INF-02-2024-00834,YES,NO,Baptista Village ES,Repair of Classrooms,SANTIAGO CITY,REGION II
1100192,INF-02-2024-00851,YES,NO,Patul Elementary School,Repair of Classrooms,SANTIAGO CITY,REGION II
1100196,INF-12-2024-00982,YES,NO,Baluarte ES,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,SANTIAGO CITY,REGION II
1100198,INF-02-2024-00878,YES,NO,Calaocan ES,Repair of Classrooms,SANTIAGO CITY,REGION II
1100267,INF-06-2024-00192,YES,NO,San Ildefonso ES,Construction of 1 Storey Library Hub Building (22.50m x 9.50m),BULACAN,REGION III
1100345,INF-12-2024-00984,YES,NO,Sta. Maria Elementary School,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,ZAMBALES,REGION III
1100350,INF-12-2024-00985,YES,NO,San Salvador Elementary School,Electrification of Un-Energized Schools and Modernization of Electrical Systems of On-Grid Schools,ZAMBALES,REGION III
1100352,INF-02-2024-00737,YES,NO,Dampay Elementary School,Repair of Classrooms,ZAMBALES,REGION III
1100353,INF-03-2024-00245,YES,NO,Manggahan Elementary School,"CONSTRUCTION OF SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER",ZAMBALES,REGION III
1100355,INF-03-2024-00286,YES,NO,Buhawen Elementary School,"CONSTRUCTION OF SCHOOL BUILDING (WITH TOILET) WITH PROVISION OF RAINWATER COLLECTOR, SCHOOL FURNITURE, SOLAR PV ENERGY SYSTEM, WATER SYSTEM AND FLOOD MARKER",ZAMBALES,REGION III
1100383,INF-02-2024-00803,YES,NO,San Jose Del Monte Central School,Repair of Classrooms,CITY OF SAN JOSE DEL MONTE,REGION III
1100478,INF-05-2024-00118,YES,NO,"Sabang
Elementary School",Conservation and Restoration of Gabaldon School Building,DASMARINAS CITY,REGION IV-A
1100479,INF-12-2024-00941,YES,NO,V. P. Villanueva MS (Palapala),"Upgrading and Modernization
of Electrical System On-Grid",DASMARINAS CITY,REGION IV-A
1100480,INF-02-2024-00710,YES,NO,Bautista Elementary School,Repair of Classrooms,DASMARINAS CITY,REGION IV-A
1100481,INF-12-2024-00973,YES,NO,Dasmariñas II CS (Dasmariñas BBES B),"Upgrading and Modernization
of Electrical System On-Grid",DASMARINAS CITY,REGION IV-A
1100530,INF-06-2024-00148,YES,NO,San Juan CS (Kalayaan),Construction of 1 Storey Library Hub Building (22.50m x 9.50m),LAGUNA,REGION IV-A
1100639,INF-02-2024-00663,YES,NO,Parang Cueva ES,Repair of Classrooms,BATANGAS CITY,REGION IV-A
