IPC,Dup_Count,Project_ID,School_Name,Project_Name,Division,Region
INF-10-2015-06697,4,1108330,Kapatungan NHS,CONSTRUCTION OF 1STY2CL AT KAPATUNGAN NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06697,4,1108329,Kapatungan NHS,CONSTRUCTION OF 1STY2CL AT KAPATUNGAN NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06697,4,1108328,Kapatungan NHS,CONSTRUCTION OF 1STY2CL AT KAPATUNGAN NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06697,4,1107856,Kapatungan NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2015-06756,4,1108337,La Fortuna NHS,CONSTRUCTION OF 2STY6CL AT LA FORTUNA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06756,4,1108336,La Fortuna NHS,CONSTRUCTION OF 2STY6CL AT LA FORTUNA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06756,4,1108335,La Fortuna NHS,CONSTRUCTION OF 2STY6CL AT LA FORTUNA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06756,4,1107854,La Fortuna NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1108342,La Paz NHS,CONSTRUCTION OF 2UNITS-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1108341,La Paz NHS,CONSTRUCTION OF 2-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1108340,La Paz NHS,CONSTRUCTION OF 2-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1108339,La Paz NHS,CONSTRUCTION OF 2-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1108338,La Paz NHS,CONSTRUCTION OF 2-1STY3CL AT AURORA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06797,6,1106919,La Paz NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2015-06818,4,1108334,Kasapa NHS,CONSTRUCTION OF 1STY2CL AT KASAPA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06818,4,1108333,Kasapa NHS,CONSTRUCTION OF 1STY2CL AT KASAPA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06818,4,1108332,Kasapa NHS,CONSTRUCTION OF 1STY2CL AT KASAPA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2015-06818,4,1106917,Kasapa NHS,,AGUSAN DEL SUR,CARAGA
INF-10-2016-02677,3,1108291,Cecilia Nhs,CONSTRUCTION OF 2STY6CL AT CECILIA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02677,3,1108290,Cecilia Nhs,CONSTRUCTION OF 2STY6CL AT CECILIA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02677,3,1106930,Cecilia Nhs,,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108299,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP (7X22.5) AT BUNAWAN NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108294,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP (7X22.5) AT BUNAWAN NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108289,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108287,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108286,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108285,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1108284,Bunawan National High School,CONSTRUCTION OF 3STY12CL-3STY6CL-SHS UNIQUE WORKSHOP,AGUSAN DEL SUR,CARAGA
INF-10-2016-02699,8,1106914,Bunawan National High School,,AGUSAN DEL SUR,CARAGA
INF-10-2016-02707,5,1108298,Esperanza National High School,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02707,5,1108297,Esperanza National High School,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02707,5,1108296,Esperanza National High School,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02707,5,1108295,Esperanza National High School,CONSTRUCTION OF 3STY15CL-2STY12CL-SHS UNIQUE WORKSHOP (7X22.5) AT ESPERANZA NHS,AGUSAN DEL SUR,CARAGA
INF-10-2016-02707,5,1106915,Esperanza National High School,,AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108293,Salvacion NHS,CONSTRUCTION OF SHS UNIQUE WORKSHOP (7X22.5) AT SALVACION NHS,AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108288,Salvacion NHS,CONSTRUCTION OF SHS UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108283,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108282,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108281,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
INF-10-2017-01001,9,1108280,Salvacion NHS,CONSTRUCTION OF UNIQUE WORKSHOP (7X22.5),AGUSAN DEL SUR,CARAGA
